Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,18-Nov-2025,CE,27350.00,2.00,2.00,0.80,0.90,0.90,0.90,22590.00,463393.48,16.11,96375.00,72375.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25650.00,278.00,367.50,274.05,331.05,325.00,331.05,53365.00,1039103.32,12494.13,376050.00,-388800.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25850.00,171.00,214.55,146.05,183.50,178.75,183.50,1472744.00,28746249.09,193424.79,1649325.00,783750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27150.00,1.00,1.35,0.90,1.00,1.05,1.00,53867.00,1096908.86,42.07,543600.00,503850.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27700.00,0.90,1.00,0.75,0.80,0.75,0.80,18557.00,385533.42,11.74,230475.00,28650.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24150.00,-,-,-,1589.80,1589.80,1748.60,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23450.00,-,-,-,2303.45,2303.45,2447.95,-,-,-,300.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25150.00,742.00,831.50,721.50,797.75,787.95,797.75,353.00,6860.84,202.38,20925.00,6600.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25400.00,483.00,593.00,483.00,553.75,546.30,553.75,11685.00,227230.31,4631.06,364125.00,-148125.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24800.00,1090.00,1180.75,1062.40,1133.30,1127.65,1133.30,115.00,2235.34,96.34,31725.00,-150.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26050.00,60.20,99.95,60.20,81.15,78.80,81.15,962419.00,18861464.93,58203.72,2006325.00,1062075.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23600.00,-,-,-,2143.55,2143.55,2298.10,-,-,-,450.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25700.00,255.50,325.50,238.75,290.45,285.00,290.45,388002.00,7559179.51,80440.96,1897350.00,-1622325.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23500.00,2425.00,2426.25,2423.85,2424.45,2423.85,2424.45,5.00,97.22,9.10,32025.00,-75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23650.00,-,-,-,2103.60,2103.60,2248.15,-,-,-,300.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25000.00,900.00,981.10,867.40,939.10,937.20,939.10,2370.00,46080.78,1643.28,370200.00,-21525.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25750.00,201.50,286.10,201.50,252.95,247.25,252.95,278454.00,5427311.92,49669.04,654900.00,-547800.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26550.00,5.15,7.95,4.85,5.95,6.00,5.95,193775.00,3859406.41,861.72,792825.00,261450.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24450.00,-,-,-,1298.95,1298.95,1448.90,-,-,-,225.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27600.00,0.95,1.05,0.75,0.80,0.90,0.80,18021.00,373046.05,11.35,218850.00,35850.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25800.00,173.50,248.60,173.50,217.30,211.45,217.30,1548781.00,30207845.92,238933.57,3084000.00,-296100.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25900.00,140.95,179.75,120.65,153.30,148.25,153.30,2433478.00,47543685.69,273375.54,4449375.00,2247750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26700.00,2.95,3.95,2.85,3.40,3.40,3.40,419168.00,8394870.24,1031.04,4300575.00,2434800.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25200.00,720.00,788.45,670.00,753.70,738.55,753.70,2703.00,52560.28,1473.58,153525.00,-60450.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24350.00,-,-,-,1399.00,1399.00,1548.80,-,-,-,975.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24100.00,-,-,-,1642.00,1642.00,1798.55,-,-,-,2100.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25950.00,108.25,150.00,98.00,125.75,122.40,125.75,1301056.00,25443272.12,121469.72,2204400.00,1400925.00,25875.80
